1552587687868624544	1552587687870280320	1.65578
1552587687906162784	1552587687907819872	1.65709
1552587687935836480	1552587687937495744	1.65926
1552587687964909344	1552587687966732768	1.82342
1552587687993296928	1552587687995192992	1.89606
1552587688020602240	1552587688022701696	2.09946
1552587688049832224	1552587688051711520	1.8793
1552587688079072224	1552587688081015968	1.94374
1552587688113492064	1552587688115150656	1.65859
1552587688145697760	1552587688147468736	1.77098
1552587688169985664	1552587688171893760	1.9081
1552587688191979520	1552587688193910144	1.93062
1552587688216541920	1552587688218479168	1.93725
1552587688255457696	1552587688257402304	1.94461
1552587688278086528	1552587688280268256	2.18173
1552587688302034336	1552587688303832864	1.79853
1552587688325534144	1552587688327261536	1.72739
1552587688349020928	1552587688350938944	1.91802
1552587688375181696	1552587688377084960	1.90326
1552587688400690112	1552587688402602176	1.91206
1552587688425160640	1552587688427104640	1.944
1552587688452189184	1552587688454128704	1.93952
1552587688477859072	1552587688479773024	1.91395
1552587688504633536	1552587688506582208	1.94867
1552587688532493504	1552587688534251296	1.75779
1552587688559048672	1552587688560869184	1.82051
1552587688585197248	1552587688587151360	1.95411
1552587688614565088	1552587688616497632	1.93254
1552587688643801088	1552587688645619584	1.8185
1552587688672028832	1552587688673975200	1.94637
1552587688701498592	1552587688703221536	1.72294
1552587688731223712	1552587688733148544	1.92483
1552587688761486912	1552587688763305952	1.81904
1552587688792773664	1552587688794711232	1.93757
1552587688825750240	1552587688827669344	1.9191
1552587688857136480	1552587688859057920	1.92144
1552587688890467168	1552587688892392544	1.92538
1552587688923364480	1552587688925262112	1.89763
1552587688958477664	1552587688960371840	1.89418
1552587688993542752	1552587688995463488	1.92074
1552587689027257600	1552587689029071104	1.8135
1552587689061196352	1552587689063111648	1.9153
1552587689096360288	1552587689098249280	1.88899
1552587689129449408	1552587689131160704	1.7113
1552587689161945984	1552587689163868928	1.92294
1552587689193138784	1552587689195034368	1.89558
1552587689225328416	1552587689227138080	1.80966
1552587689256221184	1552587689258120000	1.89882
1552587689289082656	1552587689290976672	1.89402
1552587689326976192	1552587689328628576	1.65238
1552587689358300256	1552587689360205536	1.90528
1552587689390831072	1552587689392751936	1.92086
1552587689422770848	1552587689424695456	1.92461
1552587689454632928	1552587689456547776	1.91485
1552587689487009216	1552587689488938496	1.92928
1552587689519553088	1552587689521441856	1.88877
1552587689552875264	1552587689554530400	1.65514
1552587689585665120	1552587689587587744	1.92262
1552587689619300256	1552587689621104256	1.804
1552587689652403200	1552587689654311712	1.90851
1552587689687297472	1552587689689079104	1.78163
1552587689734880224	1552587689736770048	1.88982
1552587689768591104	1552587689770505216	1.91411
1552587689803496704	1552587689805386592	1.88989
1552587689838541216	1552587689840430016	1.8888
1552587689876688992	1552587689878533376	1.84438
1552587689914945120	1552587689916829248	1.88413
1552587689966234912	1552587689968131328	1.89642
1552587690003033984	1552587690004790592	1.75661
1552587690040933760	1552587690042849664	1.9159
1552587690078745248	1552587690080671008	1.92576
1552587690117106880	1552587690118760544	1.65366
1552587690156115392	1552587690157886720	1.77133
1552587690195278944	1552587690197221376	1.94243
1552587690234986880	1552587690236912608	1.92573
1552587690276818240	1552587690278556928	1.73869
1552587690317292512	1552587690318978976	1.68646
1552587690356566048	1552587690358265792	1.69974
1552587690395856000	1552587690397759744	1.90374
1552587690435303840	1552587690437220352	1.91651
1552587690473719008	1552587690475629408	1.9104
1552587690513679200	1552587690515526400	1.8472
1552587690552166880	1552587690553919328	1.75245
1552587690590737600	1552587690592671360	1.93376
1552587690629255456	1552587690631167584	1.91213
1552587690666533760	1552587690668448096	1.91434
1552587690703264544	1552587690705197088	1.93254
1552587690741466720	1552587690743122656	1.65594
1552587690777401952	1552587690779275232	1.87328
1552587690813853728	1552587690815765536	1.91181
1552587690850772832	1552587690852568736	1.7959
1552587690887646560	1552587690889547808	1.90125
1552587690923394336	1552587690925269184	1.87485
1552587690961390880	1552587690963150016	1.75914
1552587690997760448	1552587690999675648	1.9152
1552587691033887776	1552587691035798560	1.91078
1552587691070283360	1552587691072195104	1.91174
1552587691106304480	1552587691108226496	1.92202
1552587691143443456	1552587691145179776	1.73632
1552587691181070336	1552587691182721952	1.65162
