1552587687868230432	1552587687868596224	0.365792
1552587687908194208	1552587687908569184	0.374976
1552587687937526176	1552587687937897280	0.371104
1552587687966759648	1552587687967117760	0.358112
1552587687995221248	1552587687995590240	0.368992
1552587688022812928	1552587688023172544	0.359616
1552587688051861024	1552587688052225664	0.36464
1552587688081271136	1552587688081637056	0.36592
1552587688115410784	1552587688115779616	0.368832
1552587688147497888	1552587688147854944	0.357056
1552587688171926080	1552587688172290944	0.364864
1552587688193937920	1552587688194293760	0.35584
1552587688218624928	1552587688218978112	0.353184
1552587688257428864	1552587688257771936	0.343072
1552587688280297248	1552587688280644608	0.34736
1552587688303865504	1552587688304217312	0.351808
1552587688327290304	1552587688327633664	0.34336
1552587688351087008	1552587688351437056	0.350048
1552587688377112128	1552587688377464032	0.351904
1552587688402629280	1552587688402995648	0.366368
1552587688427248896	1552587688427601184	0.352288
1552587688454157120	1552587688454505728	0.348608
1552587688479799776	1552587688480143008	0.343232
1552587688506609280	1552587688506969920	0.36064
1552587688534464128	1552587688534837184	0.373056
1552587688560897536	1552587688561241696	0.34416
1552587688587398208	1552587688587750528	0.35232
1552587688616524384	1552587688616872320	0.347936
1552587688645646976	1552587688646020192	0.373216
1552587688674004864	1552587688674347808	0.342944
1552587688703250880	1552587688703594656	0.343776
1552587688733395808	1552587688733747040	0.351232
1552587688763333248	1552587688763683648	0.3504
1552587688794855552	1552587688795197248	0.341696
1552587688827696672	1552587688828037888	0.341216
1552587688859085408	1552587688859432512	0.347104
1552587688892539456	1552587688892890432	0.350976
1552587688925289792	1552587688925632736	0.342944
1552587688960401152	1552587688960745696	0.344544
1552587688995491520	1552587688995827392	0.335872
1552587689029098048	1552587689029449216	0.351168
1552587689063137696	1552587689063478656	0.34096
1552587689098277376	1552587689098619424	0.342048
1552587689131372704	1552587689131726752	0.354048
1552587689164117120	1552587689164467232	0.350112
1552587689195065888	1552587689195397376	0.331488
1552587689227165280	1552587689227506592	0.341312
1552587689258147360	1552587689258488608	0.341248
1552587689291004320	1552587689291352256	0.347936
1552587689328847104	1552587689329182272	0.335168
1552587689360233472	1552587689360578208	0.344736
1552587689392998880	1552587689393346784	0.347904
1552587689424723520	1552587689425062528	0.339008
1552587689456574976	1552587689456917536	0.34256
1552587689488965344	1552587689489311520	0.346176
1552587689521469792	1552587689521807616	0.337824
1552587689554744544	1552587689555091616	0.347072
1552587689587835232	1552587689588181312	0.34608
1552587689621252640	1552587689621599264	0.346624
1552587689654339424	1552587689654679136	0.339712
1552587689689107264	1552587689689446528	0.339264
1552587689736796800	1552587689737134272	0.337472
1552587689770532256	1552587689770896928	0.364672
1552587689805416672	1552587689805794240	0.377568
1552587689840458304	1552587689840807424	0.34912
1552587689878682496	1552587689879019744	0.337248
1552587689916857024	1552587689917193920	0.336896
1552587689968278656	1552587689968623904	0.345248
1552587690005003584	1552587690005345344	0.34176
1552587690042880576	1552587690043217952	0.337376
1552587690080917984	1552587690081261216	0.343232
1552587690118790656	1552587690119127552	0.336896
1552587690157918464	1552587690158261376	0.342912
1552587690197248672	1552587690197591104	0.342432
1552587690236940992	1552587690237279040	0.338048
1552587690278679648	1552587690279010080	0.330432
1552587690319009056	1552587690319359840	0.350784
1552587690358509088	1552587690358852192	0.343104
1552587690397787872	1552587690398126432	0.33856
1552587690437247264	1552587690437614016	0.366752
1552587690475775040	1552587690476119616	0.344576
1552587690515552992	1552587690515892384	0.339392
1552587690553946432	1552587690554294016	0.347584
1552587690592697728	1552587690593040288	0.34256
1552587690631196192	1552587690631540480	0.344288
1552587690668475872	1552587690668813952	0.33808
1552587690705341440	1552587690705684864	0.343424
1552587690743149088	1552587690743487136	0.338048
1552587690779304448	1552587690779653440	0.348992
1552587690815911008	1552587690816256832	0.345824
1552587690852597184	1552587690852941760	0.344576
1552587690889576128	1552587690889913696	0.337568
1552587690925297920	1552587690925635008	0.337088
1552587690963364096	1552587690963706944	0.342848
1552587690999702112	1552587691000064352	0.36224
1552587691035825792	1552587691036163424	0.337632
1552587691072221984	1552587691072567168	0.345184
1552587691108370240	1552587691108713408	0.343168
1552587691145206272	1552587691145541472	0.3352
1552587691182939872	1552587691183291008	0.351136
